,id,series_id,tournament_id,event_id,version,minor_version,dataset_id,dataset_version,platform_id,ladder_id,rated,winning_team_id,builtin_map_id,map_size_id,map_name,event_map_id,rms_custom,rms_seed,fixed_positions,played,platform_match_id,duration,completed,postgame,type_id,difficulty_id,population_limit,map_reveal_choice_id,cheats,speed_id,mirror,diplomacy_type,team_size,starting_resources_id,starting_age_id,victory_condition_id,all_technologies,version_id,multiqueue,treaty_length,build,version_id,starting_palisades,starting_town_centers,starting_walls,state_reader_interval,state_reader_version,platform_metadata,water_percent,server
59,1131981,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1889368165,False,2019-11-19 15:21:19.006899,20944268,0 days 00:29:36.000000000,True,True,0,0,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
60,1131989,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-2094180994,False,2019-11-19 15:11:20.844641,20944246,0 days 00:38:11.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
61,1131991,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,888550639,False,2019-11-19 15:07:21.510487,20944238,0 days 00:04:37.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
62,1132092,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-2059975981,False,2019-11-19 16:58:05.899583,20944592,0 days 00:20:35.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
63,1132093,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,1583611413,False,2019-11-19 16:57:06.323877,20944588,0 days 00:54:17.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
64,1132095,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,173393224,False,2019-11-19 16:55:08.564337,20944582,0 days 00:13:13.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
65,1132098,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-270667785,False,2019-11-19 16:53:09.569011,20944575,0 days 00:48:03.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
66,1132105,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-1415589528,False,2019-11-19 16:44:11.946642,20944547,0 days 00:08:23.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
67,1132106,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-1728604422,False,2019-11-19 16:43:12.222472,20944543,0 days 00:25:24.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
68,1132107,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1774039821,False,2019-11-19 16:41:12.465442,20944538,0 days 00:37:37.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
69,1132112,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1676179013,False,2019-11-19 16:38:14.371126,20944528,0 days 00:30:30.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
70,1132115,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-82305859,False,2019-11-19 16:37:15.228000,20944519,0 days 00:26:43.000000000,True,True,0,3,200,0,False,178,True,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
71,1132116,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-376072679,False,2019-11-19 16:36:15.526910,20944515,0 days 00:14:43.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
72,1132130,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,1583611413,False,2019-11-19 16:21:19.834286,20944470,0 days 00:22:25.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
73,1132132,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-1930968753,False,2019-11-19 16:19:20.359860,20944464,0 days 00:22:01.000000000,True,True,0,3,200,0,False,178,True,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
74,1132144,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,917180559,False,2019-11-19 16:12:23.800300,20944434,0 days 00:07:46.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
75,1132154,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,0,9,120,Arabia,,False,-1521030347,False,2019-11-19 16:02:27.007246,20944403,0 days 00:25:32.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
76,1132156,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,1368001438,False,2019-11-19 16:02:27.468567,20944401,0 days 00:41:37.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
77,1132129,,,,userpatch 1.5,11.76,1,5.8.1,voobly,131,True,1,9,120,Arabia,,False,-167375241,False,2019-11-19 16:21:19.538890,20944471,0 days 00:15:57.000000000,True,True,0,3,200,0,False,178,False,1v1,1v1,0,0,1,False,20,,,,20,,,,,,,,
